what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412017880126
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1412017880126
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412017882063
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412017887971
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1412017888015
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1412017888041
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1412017888050
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412017889757
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1412017889757
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412017891659
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412017894862
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412017894922
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412017894956
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1412017894964
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412017900027
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412017900027
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1412017900036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412017902167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412017917405
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1412017917453
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1412017917484
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1412017917496
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412017919121
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1412017919121
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412017921237
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412017925150
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1412017925179
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1412017925239
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412017937598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412017963306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412017965021
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412017979847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412017983494
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412018031807
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.binaryEditor",1412018031876
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.binaryEditor",1412018031896
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1412018031903
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412018034138
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.binaryEditor",1412018034138
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412018054629
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412018057929
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412018059564
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412018163673
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412018179266
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412018179377
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1412018180572
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412018181509
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412018183237
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412018187547
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412018265924
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412018404874
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412018625295
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412018864284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412018882097
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412019130379
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412019179616
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1412019179628
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412019182678
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412019331939
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412019335923
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412019578903
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412019615519
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1412019615535
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412019616527
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412019979796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412019989057
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412020176047
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412020545543
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412020571823
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1412020592738
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412020649633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412020660443
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412020662583
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412020665644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412020734978
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412020735620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412020849587
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412020859046
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412021102967
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412021151653
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1412021320989
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412021830894
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412021837559
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412021868544
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412021869353
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1412021915369
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412022093856
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412022096841
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412022103251
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1412022119176
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1412022119444
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1412022121201
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412022138595
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412022140440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412022142240
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412022228338
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412022231254
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412022642543
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412022821146
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1412022821157
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412022824401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412022837279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412022914021
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1412022914033
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1412022914883
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412023161486
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412023164845
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412023196007
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412023221173
